Current Position Requirements,Current Position,Alternative 1,Alternative 2
"Higher education; Work experience of minimum one year; Excellent knowledge of English and Armenian languages. Knowledge of Russian language is a plus; Organized and energetic personality with high sense of responsibility; Good computer skills (MS Office, local network, Internet and E-mail); Good interpersonal and organizational skills; Ability to work independently.",Administrative Assistant,Sales Manager,Office Manager
"At least 3 years of experience in marketing; Higher education (Master's degree will be an advantage); Excellent knowledge of the Russian, English and Armenian languages; Computer proficiency; Purposeful and organized person; Ability to communicate and carry out negotiations effectively; Ability to work with clients; Communication and analytical thinking skills; High sense of responsibility.",Marketing Manager,Lawyer,Sales Manager
"Minimum 3 years of experience working in Microsoft Windows environment using Object Oriented Concepts and developing database applications; Expert level knowledge of C++/C#, .NET framework and SQL; Expertise in Object Oriented Design and Analysis, UML is a plus; Knowledge of the .NET platform and experience implementing .NET Web Applications;  Knowledge of SQL and MS SQL Server DBMS is desired;  C++ experience is a plus;  Familiarity with Web Services, .NET 3.0;  Knowledge of English language;  Ability to effectively work under strict deadlines.",Software Developer,Web Developer,Software Engineer
"Competitive candidates will have the following qualifications: Extensive experience managing complex projects with aggressive deadlines; Experience with financial management and procurement of services; Experience studying and/or working both in Armenia and abroad; Excellent communication skills; Flexibility, dynamism and dedication; Teamwork skills and a highly positive attitude; Advanced degree from a leading university; Proficiency in Armenian, English and/or Russian languages.",Project Manager,Accountant,Administrative Assistant
"Excellent communication skills; Good oral and written communication skills in Armenian and English languages, knowledge of Russian language is a plus; Basic computer and internet/ e-mail skills; Punctual, communicative, open-minded, self-confident, eager to learn & flexible; Ability to complete the tasks in a timely manner.",Receptionist/ Administrative Assistant,Administrative Assistant,Office Manager
"Higher education; Fluent in Armenian, Russian and English languages; Excellent knowledge of MS Office package; High self-organizational skills and sense of responsibility, accuracy, integrity and commitment; Energetic, hands-on person, able to work under the pressure; High communication skills, teamwork abilities; Personal discipline and efficiency of actions; Previous work experience in a similar position for minimum of 2 years.",Administrative Assistant,Sales Manager,Office Manager
"At least 5 years of work experience as Software Developer; Excellent knowledge in Java and OOP; Excellent knowledge in Web development; Web Frameworks: Struts, JSP/Servlet, Java Server Faces; Persistence Layer: OJB, IBATIS, Hibernate; Integration Technologies: Spring Framework; Databases: Base knowledge with MySQL and Oracle databases; Excellent knowledge in SQL language (writing queries, creating databases, dumping, importing without a graphical user interface); Database Modeling skills; Good knowledge in (X)HTML, CSS, JavaScript, XML; Optional technologies: Velocity, Jasper Reports, Facelets; Build Environment: Ant, Maven, Eclipse; Servers: Tomcat, Apache2 Webserver; OS: Linux Ubuntu; High skills with Linux Operating System: system administration, writing Shell scripts etc.; Ability to work on project with a development team; Ability to lead a small development team would be a plus; Problem solving skills; Good communication skills; Good English language skills.",Java Developer,Software Developer,Web Developer
"Degree in Economics, Marketing or a related field; At least 1 year of professional experience in a relevant field; Basic knowledge of banking;  Strong team player and flexibility; Excellent communication and writing skills; Creativity and initiative; Analytical skills; Negotiation skills; Thorough knowledge of MS Office; Strong knowledge of written and spoken Russian and Armenian languages, knowledge of English language is a plus.",Marketing Specialist,Sales Manager,Accountant
"Higher education in Accounting; Good attention to detail and high level of accuracy at work; Good communication and organizational skills; Excellent knowledge of RA tax legislation; Excellent knowledge of Armenian and Russian languages, English is preferable; Previous work experience for at least 2 years in similar function.",Accountant,Chief Accountant,Administrative Assistant
"Bachelor's degree; Master's degree is a plus; At least 4 years of work experience in Java and Web development; Experience with web development with Java EE platform; Excellent knowledge of Java and OOP; Knowledge of Java technologies: JSF, EJB, Hibernate, Spring and JAX-WS; Knowledge of databases: excellent  knowledge of SQL, experience with Oracle and other relational database systems and database modeling skills; Knowledge of (X)HTML, CSS, JavaScript and XML; Ability to work on projects with a development team; Problem solving skills; Strong interpersonal skills, including effective writing and verbal communication skills.",Java Developer,Software Developer,Web Developer
At least 3 years of experience in PM position; Knowledge of PM techniques and software development methodologies; Knowledge of software development life cycle; Experience in using PM tools; Strong organizational and communication skills; Ability to work under pressure and in multi-task environment; Excellent knowledge of French and English languages.,Project Manager,Accountant,Software Developer
"University degree in the appropriate field; Strong educational background and work experience in a software company for at least 3 years; Strong knowledge of programming techniques and software development process; Hands on PHP and Java backend development experience; Hands on HTML, JavaScript, CSS frontend development experience; Strong knowledge of MySQL; Ability to work under pressure in a fast changing environment; Ability to work in closely with team members.",Software Developer,Web Developer,Java Developer
"-	University degree in Accounting/Finance (MBA is a plus); -	3-5 years of experience in finance/accounting areas and at least 2 years of work experience as Chief Accountant;  -	Good knowledge of Armenian Accounting (knowledge of ArmSoftware) and Auditing Standards; -	Highly knowledgeable of Tax Laws and Labour Legislation; -	Analytical skills, attention to details, and follow through on assigned duties; -	Good knowledge of Russian and English languages; -	Ability to work under pressure on multiple tasks and within deadlines; -	Strong organizational and decision-making skills; -	Excellent computer skills (MS Excel, MS Word and Outlook); -	Strong interpersonal skills, strong professional ethics, professional presentation.",Chief Accountant,Accountant,Lawyer
"Bachelor's/Master's degree in CS or related discipline; Mathematical background is desired; 3+ years of professional software development experience; Analytical, technical and interpersonal skills; Ability to work on multiple projects at the same time; Experience in system and application programming for Windows and/or UNIX/Linux;  Experience in developing multithreaded, distributed and/or client-server applications with POSIX sockets is desired; Excellent knowledge of C and C++ languages as well as their ANSI/ISO standards;  Knowledge of C#, Perl and UNIX shell scripts; Knowledge of English and Russian languages on communication level.",Software Developer,Software Engineer,Project Manager
"At least 2 years of work experience as a Software Developer in PHP; Experience in Web development; Excellent knowledge of AJAX, XHTML, CSS, JavaScript; Experience in Yahoo! User Interface Library (YUI); Database knowledge with MySQL; ASP.Net and C# is preferred; Excellent knowledge of English language.",PHP Developer,Web Developer,Software Developer
"At least one year of experience in a similar position is desired; Knowledge of Armenian laws and regulations, accounting principles.",Accountant,Chief Accountant,Lawyer
"University degree in the field of Economics; Experience in a relevant field is desirable; Knowledge of the accounting legislation; Knowledge of accounting programs (Armenian Software or 1C is preferable); Analytical thinking; Business writing skills; Ability to quickly and accurately orient skills in difficult situations;  Communication skills, flexibility and ability to work in a team; Initiative and openness to changes;  Responsibility, punctuality and attentiveness; Advanced computer skills: knowledge of MS Office: namely Excel; Fluency in Armenian and Russian languages, knowledge of English language is a plus.",Accountant,Chief Accountant,Sales Manager
University degree in Medicine;  Specialist in Pharmaceutics and Therapeutics;  At least 2 years of work experience as a Medical Representative will be an asset; Good knowledge of English and Russian languages; Excellent knowledge of MS Office; Excellent communication skills; High sense of responsibility; Driving license.,Sales Manager,Medical Representative,Lawyer
Highly motivated person with creative approach to the work; Highly organized person able to manage and structure large volumes of financial data; Bachelor's degree in Accounting/ Finance or equivalent certificate from accounting courses; At least 1 year of experience in a related field; Advanced knowledge of cost accounting and managerial accounting; Excellent knowledge of MS Excel and computer user skills; Knowledge of 1S accounting software is a plus; Fluent knowledge of English and Armenian languages.  Fluency in Russian is a plus.,Accountant,Chief Accountant,Sales Manager
"At least 2 years of practical work experience in relevant area; Experience in sales; Good oral and written communication skills in Armenian, Russian and English languages; High sense of responsibility; Strong negotiation, communication and interpersonal skills; Team player; Driver's license B, C, with own car; Men candidates are encouraged to apply.",Sales Manager,Administrative Assistant,Marketing Specialist
"University degree in Management and Project management;  Fluency in Armenian and Russian languages;  At least 1 year of experience in required area is a plus; High sense of responsibility, commitment and punctuality, representative capacity, excellent communication skills and open-minded personality; Advanced computer skills; experience in working with Microsoft Office, especially Excel and PowerPoint (knowledge of graphic software is a plus);  Ability to work in team.",Project Manager,Administrative Assistant,Office Manager
"Excellent communication skills; Good oral and written communication skills in Armenian and English languages, knowledge of Russian language is a plus; Basic computer and internet/ e-mail skills; Punctual, communicative, open-minded, self-confident, eager to learn and flexible; Ability to complete the tasks in a timely manner.",Receptionist/ Administrative Assistant,Administrative Assistant,Office Manager
"University degree; Knowledge of Microsoft Office tools (Excel, Word, E-mail and Internet); Knowledge of Armenian and Russian languages; Good communication and presentation skills; Ability to conduct negotiations; Work experience in sales or marketing fields is a plus; Energetic personality with strategic and analytical skills; Ability to work under pressure.",Sales Manager,Marketing Specialist,Administrative Assistant
"At least 3 years of work experience; Experience in team work; Good knowledge of OOP principles; Good knowledge of MVC pattern; Ability to work on multiple tasks and to prioritize personal workload; Ability to handle the whole project and lead a small team; Very good knowledge of JSP/ Servlet, J2EE, JSF, Hibernate and Spring; Good knowledge of JavaScript, HTML and CSS; Knowledge of Struts and HTML5 is a plus; Database proficiency in SQLServer and Oracle is a plus.",Java Developer,Software Developer,Web Developer
"University degree, preferably in Accounting or Business, with experience in accounting and finance; At least one year of professional experience in import and distribution field; Excellent knowledge of latest accounting laws; Excellent skillS of MS office (Word, Excel); Knowledge of Armenian Software.",Chief Accountant,Accountant,Office Manager
"Higher education in Economics, Finances or Accounting; Awareness of responsibilities of a Chief Accountant; Awareness of Tax laws and regulations, as well as IFRS practices; International Certification in Accountancy (ACCA) is a plus; Computer skills, proficiency in Microsoft Office suite and Armenian Software; Strong interpersonal and communication skills, with the ability to work in teams; Initiative and flexible person with high sense of responsibility; Analytical thinking; Excellent knowledge of Armenian and English languages; knowledge of Russian language is a plus.",Chief Accountant,Accountant,Lawyer
"Knowledge of C/C++, Java/J2EE, JSP, DHTML, Struts, Tomcat, SQL, Web Services; RDBMS including data modeling; Experience with JSF, Corba, XML/XSL, Oracle, Perl  is a plus; XML and SOAP (Web Services) interfaces; Perl 5 including HTML::Mason, SOAP::Lite, and DBI; RDBMS (Oracle a plus) including data modeling is a  plus; Familiarity with Apache web proxy configuration is  plus; Understanding of Internet protocols, HTTP and  Streaming content delivery, data processing, Internet distributed systems experience a plus; Unix; Fluent knowledge of English and Russian languages,  knowledge of one more foreign language is a plus.",Software Engineer,Java Developer,Web Developer
"University degree in finance or accounting;   Minimum two years of progressively experience in accounting; Knowledge of Armenian Tax Law and Accounting Standards; Good knowledge of English language; Good computer skills, knowledge of Armenian Software; Motivated, dynamic personality and ability to work under pressure and meet deadlines.",Accountant,Chief Accountant,Lawyer
"Higher Medical Education;  Fluency in Armenian and Russian languages; Excellent communication, presentation and networking skills; Creative and smart personality; Computer skills (MS Office, mailing and Internet); Driving license and personal car; At least 1 year of work experience.",Medical Representative,Sales Manager,Administrative Assistant
"BS/MS in CS/EE; 3+ years of experience in software development; Good communication skills; Self-motivation; Experience in designing and developing software products; Formal training or test certification is a plus; Strong C++/ STL programming skills, experience in widely accepted methodologies such as OOP, OOD, etc.; User knowledge of Linux, MS Windows is desirable; Good knowledge of data structures and algorithms, their complexities; Mathematical background with an understanding of Computational Geometry, Graph Theory, Optimization problems; Design/implementation specification writing skills; Knowledge and experience in Physical Design Automation, or related domains is preferred; Experience in designing EDA databases, solving tasks related to fast data access, storing and processing; Experience in working with cross-functional product development teams is preferred; Knowledge of technical English (both verbal and written); It is preferred that the candidates for the Software Engineer position fulfilled military obligation or educational waivers of military obligation.",Software Engineer,Software Developer,Java Developer
"Higher Education,  Good Knowledge of English,  Knowledge of CP HP program",Administrative Assistant,Accountant,Sales Manager
"Higher education (in Economics); Minimum 5 years of work experience in Accounting; Good knowledge of Russian and English languages; Wide knowledge of IFRS Financial Report, Armenian Accounting, tax system, laws and regulations; Knowledge of Armenian Software.",Chief Accountant,Accountant,Lawyer
nan,English Language Courses,Project Manager,Administrative Assistant
Working knowledge of PHP or at least one structured programming language and internet security;  Proven experience in digital marketing and online PR in an agency or consumer branding environment; Strong understanding of the digital landscape and ability to use it to support and develop the brand;  Good experience and understanding of customer and market dynamics and requirements;  Extremely detail oriented and organized and with the ability to meet deadlines; Excellent verbal and written communication skills.,Web Developer,Marketing Manager,Project Manager
"Higher education in IT; At least 2 years of experience in IT sphere; Ability to install, configure, troubleshoot and support Windows clients and servers; Intermediate-Advanced knowledge of the Microsoft Office Suite; Basic knowledge of 1C program; Basic knowledge of network infrastructure operations; Basic knowledge of AD, DHCP, DNS; Good communication skills; Flexible and creative thinking; Team player; Excellent knowledge of Windows XP/7/8 and Linux based Server Administration; Good knowledge of English language.",System Administrator,Accountant,Software Developer
"Higher technical education and MBS will be a plus; Work experience in marketing field is a plus; Personal integrity and ability to handle confidential issues; Communication and analytical skills; Open-minded, self-motivated, intelligent and creative personality; Fluent in English, Armenian and Russian languages; Good knowledge of Microsoft Office.",Marketing Specialist,Sales Manager,Administrative Assistant
"Expert knowledge of PHP, Database (MySQL), HTML, DHTML, Java Script Some knowledge of Macromedia Flash including Active Script Hands-on experience with web-design tools such as Dreamweaver, Home Site Experience with Photoshop, ImageReady is an advantage Must be self-directed and have a track record of meeting project deadlines  At least 2 years experience in web programming",Web Developer,Java Developer,Software Developer
"University degree in finance or other related field, ACCA is a plus; At least two years experience in banking (accounting, reporting, back-office).",Accountant,Chief Accountant,System Administrator
Higher education; At least 5 years of work experience with product development; Strong organizational and analytical thinking skills; Excellent time management and organizational skills.,Sales Manager,Project Manager,Office Manager
"BS degree in the relevant field; At least 2 years of experience as a PHP Developer; experience as a MySQL Developer is preferable; Advanced  knowledge of PHP5 (Symfony2 Framework); Knowledge of AngularJS, Java Script (JQuery), HTML, CSS and XML programming languages is preferable; Knowledge of MySQL5 (stored procedures, trigers and transactions); Knowledge of Linux (Ubuntu); Ability to setup all necessary environments; Experience in service-oriented development; Experience in working with OpenSource products is a big plus; Knowledge of ZendFramework, CodeIgniter and other frameworks is a big plus; Fast learner, responsible personality; Ability to work within a team; Good problem-solving skills and ability to work independently; Good communication skills; Fluency in English language; Flexibility in learning new technologies.",PHP Developer,Web Developer,Java Developer
"Minimum 2 years experience in relevant field;  Good knowledge of English; Team oriented, organized, initiative;  Willing to learn new skills; Positive attitude.",Web Developer,Accountant,Administrative Assistant
"University degree in Fine Art/ Design is a plus; At least 2 years of professional experience; Ability to work in a team; Ability to work under strict deadlines; Knowledge of Adobe Illustrator, Photoshop, Corel Draw, 3D Max (optional); Good knowledge of printing procedures and terminology; Excellent communication skills; Creative thinking; Responsible and disciplined personality; Result-oriented and initiative personality; Problem-solving skills; Desktop publishing tools.",Graphic Designer,Sales Manager,Accountant
"Bachelor's or equivalent degree in Computer Sciences, Engineering or a related field; Extensive practical experience in and knowledge of techniques for planning, organizing, and monitoring multiple IT projects simultaneously; Knowledge of Unix-based systems (mainly Linux and FreeBSD); Ability to configure the Apache web server, mail server (Sendmail, Exim and Postfix) and LDAP; Deep knowledge of database management system MySQL, the operating system on which the database is running (Windows Server, *nix (mainly Linux/ FreeBSD), knowledge of the characteristics implementation of Active Directory; Good knowledge of Networsk, IPv4, routers and VPN; Good knowledge of English language.",System Administrator,Software Developer,Java Developer
"University degree in Economics (MBA is a plus); At least 1 year professional background in sales and marketing; Good appearance; Excellent knowledge of Armenian and Russian languages (English is a plus); High self-organizational skills and sense of responsibility, accuracy, integrity and commitment; Excellent communication skills, teamwork abilities; Quick learner and hard working personality; Energetic, hands-on person, able to work under pressure; Personal discipline and efficiency of actions; Telephone and spoken communication skills;  Knowledge of Microsoft Office.",Sales Manager,Administrative Assistant,Marketing Specialist
"University degree in Linguistics; Excellent knowledge of Armenian, Russian and English languages; Basic knowledge of MS Office programs.",Office Manager,Administrative Assistant,Accountant
"University degree in Accounting, Finance or Economics; At least 2 years of work experience in the accounting field; Good knowledge of the accounting legislation; Good knowledge of the RA tax legislation; Good knowledge of the RA labor legislation; Good knowledge of accounting software; knowledge of Armenian Software is preferable; Good interpersonal and communication skills; ability to work under pressure and deliver tasks in a timely manner; Strong research and analytical skills; Fluency in Armenian, English and Russian languages; Willingness to learn and develop professionally.",Accountant,Chief Accountant,Lawyer
"At least 5 years of experience in sales field, preferably in the hospitality industry; Bachelor's Degree or Appropriate Certificate in Hospitality/ Service field; MBA is preferred; Leadership qualities; Excellent communication skills, both oral and written; Knowledge of Armenian, English and Russian languages; Ability to organize time effectively; Ability to work with minimal supervision; Team oriented; Ability to close successful business deals; Ability to work flexible and extended hours.",Sales Manager,Lawyer,Marketing Specialist
"University degree in economics, marketing or in the related area; Work experience in the relevant area, at least 3 years; Excellence in English, Russian and Armenian languages; Excellent knowledge of MS Word, Excel, CorelDraw, Power Point, Photoshop, Outlook, Internet.",Marketing Manager,Marketing Specialist,Administrative Assistant
"Excellent communication skills; Good oral and written communication skills in Armenian and English languages, knowledge of Russian language is a plus; Basic computer and internet/ e-mail skills; Punctual, communicative, open-minded, self-confident, eager to learn & flexible; Ability to complete the tasks in a timely manner.",Receptionist/ Administrative Assistant,Administrative Assistant,Office Manager
nan,English Language Courses,Project Manager,Administrative Assistant
"Excellent communication skills; Good oral and written communication skills in Armenian and English languages, knowledge of Russian language is a plus; Basic computer and internet/ e-mail skills; Punctual, communicative, open-minded, self-confident, eager to learn & flexible; Ability to complete the tasks in a timely manner.",Receptionist/ Administrative Assistant,Administrative Assistant,Office Manager
"1+ years of work experience in system administration; Excellent knowledge and experience in Linux, Windows, WEB-servers; Basic knowledge of computer system and network installation and maintenance; Good knowledge of deployment and maintenance applications/software; Installation and configuration experience with Windows and Linux and its commands/utilities at a user level; Installation and configuration experience with Productivity tools and applications (editors, mail client, etc.) under Windows and Linux; Good inter-personal and communication skills; Team player with the ability to participate and contribute as part of a team.",System Administrator,Software Developer,Software Engineer
Minimum 3 years of work experience as an Accountant; Knowledge of generally accepted accounting standards;  Understanding of 1S accounting software; Degree in Economics or Accounting.,Chief Accountant,Accountant,Software Developer
"Bachelor's degree in the field of IT and/ or Management; At least 5 years of direct work experience in a project management capacity, including all aspects of process development and execution; An advanced degree or certification in the discipline is preferred; Experience in programming and database system design is a plus; Demonstrated experience in personnel management; Experience at working both independently and in a team-oriented, collaborative environment is essential; Ability to conform to shifting priorities, demands and timelines through analytical and problem-solving capabilities; Ability to react to project adjustments and alterations promptly and efficiently; Flexible during times of change; Persuasive, encouraging and motivating; Ability to defuse tension among project team, should it arise; Ability to bring project to successful completion through political sensitivity; Strong interpersonal skills; Ability to effectively prioritize and execute tasks in a high-pressure environment.",Project Manager,Java Developer,Software Developer
"Driver's license of ""B"" and ""C"" classes; Work experience in a related field; Ability to network and negotiate; Good knowledge of Armenian, English and Russian languages; Neat personality.",Sales Manager,Accountant,Software Developer
"Excellent communication skills; Good oral and written communication skills in Armenian and English languages, knowledge of Russian language is a plus; Basic computer and internet/ e-mail skills; Punctual, communicative, open-minded, self-confident, eager to learn & flexible; Ability to complete the tasks in a timely manner.",Receptionist/ Administrative Assistant,Administrative Assistant,Office Manager
"At least 5 years experience of IT project management with 5-person and larger teams  At least 2-year experience of working in Internet related projects (with successful track records)  Experience of working with different software development methods  Experience of project management administration skills (3 years)  Knowledge of development methodologies (Xprogramming, RUP, etc.)  Good management skills  Excellent communication skills  Excellent English skills",Project Manager,Administrative Assistant,Java Developer
"University degree in a relevant field, MBA would be a plus; At least 2 years of practical work experience in relevant area or at least 3 years of practical work experience in senior management positions in sales and marketing; Strong interpersonal skills; Good oral and written communication skills in Armenian, Russian and English languages; High sense of responsibility; High sense of humor; Computer skills including MS Word and Power Point; Women are encouraged to apply.",Sales Manager,Administrative Assistant,Marketing Specialist
"University degree in Medicine or Pharmacy; At least 1,5 years of experience in pharmaceutical industry would be an advantage; Fluency in Russian language; knowledge of English language would be beneficial; Proficiency in MS Office (excellent knowledge of Power Point); Excellent communication skills.",Medical Representative,Administrative Assistant,Sales Manager
"Excellent communication skills; Good oral and written communication skills in Armenian and English languages, knowledge of Russian language is a plus; Basic computer and internet/ e-mail skills; Punctual, communicative, open-minded, self-confident, eager to learn & flexible; Ability to complete the tasks in a timely manner.",Receptionist/ Administrative Assistant,Administrative Assistant,Office Manager
"Law degree from a leading university in Armenia; post-graduate degree is preferred; Minimum 4 years of experience in court representation (litigation), corporate, commercial and law; Good knowledge of Civil and Civil Procedure Codes; Good knowledge of legislation covering company, labor and contract law; Experience with credit/ finance operations, loan and security structuring, foreclosure proceedings is preferred; Excellent command of Armenian and Russian languages; Knowledge of English language is a plus; Excellent computer skills (knowledge of Microsoft Office).",Lawyer,Chief Accountant,Accountant
"Bachelor's degree or higher in a field related to Programming; At least 3 years of experience in programming; Experience with ASP.NET, C + +, experience in creating multi-tier web applications; Expert knowledge of NET Framework 2.0, PhP and JavaScript; Ability to create, develop and maintain web projects; Experience with databases, building and administration of networks; Good knowledge of Russian and English languages at the level of reading the documentation.",Software Developer,Web Developer,Java Developer
"At least five years of relevant work experience;  Proven track record of successes in customer management, sales and trade marketing management ideally in tobacco business but at least in the area of FMCG; Excellent knowledge of Armenian language, good knowledge of English and Russian languages; Driver's license of B type.",Marketing Manager,Sales Manager,Project Manager
"University degree (in techniques preferably); Excellent computer literacy (Excel, Word); Excellent knowledge of English, Armenian, Russian languages;  Knowledge of German is preferable.",Administrative Assistant,Office Manager,Accountant
"Solid Java/ J2EE development experience. Experience with server-side web technologies using J2EE; Solid experience in OOP/ OOD; Solid experience in HTML5, CSS3, JavaScript, JQuery; Knowledge of databases; good knowledge of SQL, familiarity with MySQL and Oracle or MS SQL databases; Good Knowledge of VB6 is a plus; Bachelor's or Master's degree in Computer Science is preferred; Good verbal and written knowledge of English language (for calls with foreign customers and business trips).",Java Developer,Software Developer,Web Developer
"At least two years of professional experience as a Finance Officer or Accountant; Strong computer skills, particularly Excel, knowledge of accounting software (QuickBooks etc.); Excellent knowledge of Armenian and International Accounting and Auditing Standards, statutory laws and regulations, tax requirements; Minimum good verbal and written skills of English and excellent skills of Armenian language; Ability to work well under pressure; Good team player, energetic and creative personality;  Sound knowledge and understanding of financial rules and tax regulations; Ability to meet deadlines under pressure; Excellent organizational skills and ability to work independently; Strong communication skills; Professional certification (at least in process) is preferred; Experience of working with QuickBooks software is a plus.",Chief Accountant,Accountant,Lawyer
"University degree in Economics, Business, Marketing or other related fields; Pro-active and open-minded personality; Excellent knowledge of English and Russian languages; Good communication and presentation skills; Confident PC user; Experience in startups will be an asset.",Project Manager,Sales Manager,Marketing Specialist
"Excellent communication skills; Good oral and written communication skills in Armenian and English languages, knowledge of Russian language is a plus; Basic computer and internet/ e-mail skills; Punctual, communicative, open-minded, self-confident personality, eager to learn and flexible; Ability to complete the tasks in a timely manner.",Receptionist/ Administrative Assistant,Administrative Assistant,Office Manager
"University degree, preferably in Accounting or Business, with a professional certification in Accounting or alternatively an equivalent combination of relevant training and experience in accounting and finance; Computer Software: MS Office, 1C Knowledge of Local Accounting Standards Knowledge of Local Tax legislation Knowledge of English Language",Accountant,Chief Accountant,Project Manager
"University degree in Economics/ Finance/ Accounting; At least 5 years of work experience as an Accountant, preferably in insurance; Excellent knowledge of Accounting Standards, knowledge of Insurance Law, Local Tax legislation; Knowledge and experience in any accounting software will be considered as an advantage; Advanced knowledge of MS Excel, as well as knowledge of Windows, Word, Internet (email); Knowledge of English and Russian languages will be a plus; Strong analytical ability with sound knowledge of finance and accounting; Self-motivated and proactive personality; Ability to work under pressure, work overtime, if required.",Accountant,Chief Accountant,Lawyer
nan,English Language Courses,Project Manager,Administrative Assistant
"At least 3-4 years of work experience in Accounting or Finance; Basic knowledge of IFRS, Armenian Tax legislation and generally accepted accounting practices; Computer skills and proficiency in Microsoft Office; Working skills in Accounting software; Ability to work effectively with all levels of staff and handle confidential information discretely and professionally; Strong team-player with excellent verbal and written communication skills; Higher education; Knowledge of spoken and written English and Russian languages is a plus; ACCA is a plus.",Accountant,Chief Accountant,Administrative Assistant
"Experience with PHP 5 (classes, namespaces, inheritance, and design patterns); Experience with MySQL, PostgreSQL and SQLite, or equivalent RDBMS familiarity; Experience with HTML 5 and XHTM; Experience with CSS3; Experience in JavaScript development (jQuery is preferred); Experience in Version Control systems such as GIT or Subversion; Commitment to acquire new skills and the ability to use them; Good knowledge of the written and spoken English language; Ability to work independently and complete assigned tasks within identified time frames; Positive attitude, flexibility and problem-solving mentality; Strong attention to details.",Web Developer,PHP Developer,Java Developer
"University degree in Accounting/ Finance; 5 years of experience; Knowledge of Smart Sale software; Excellent knowledge of Tax Laws/ Labour/ Customs Legislation; Computer skills (MS Office); Knowledge of International Financial Reporting Standards; Excellent knowledge of Armenian as well as other contemporary accounting software; Excellent knowledge of Armenian, Russian and English languages; Self-confidence, flexibility and positive thinking; Analytical skills; Leadership skills; High level of accuracy; Ability to work under pressure on multiple tasks and within deadlines.",Chief Accountant,Accountant,Sales Manager
"Education in Accounting, Finance or other related fields; Knowledge of Tax Legislation; Knowledge of MS Office; Knowledge of 1C; Knowledge of English language; Punctual, well-mannered, eager to learn and flexible; Ability to complete tasks in a timely manner.",Accountant,Chief Accountant,Receptionist/ Administrative Assistant
"Higher Pharmaceutical/ Medical education;  At least 2 years of relevant work experience / preferably in regions/; Fluency in Armenian and Russian languages; knowledge of English language would be beneficial; Proficiency in MS Office Suite (Word, Excel and Power Point); Ability to work in a team; Flexibility and ability to work under pressure and within limited time frames; Excellent communication skills; Extremely organized and highly motivated personality; Driving skills and license with at least 2 years of driving experience.",Medical Representative,Sales Manager,Administrative Assistant
"University degree in Programming from a leading institution of higher education, in-depth knowledge in the area of web development theory and practice; Strong knowledge of web authoring technologies: JavaScript, CSS, HTML and PHP; Experience in the field of education or experience in working with teenagers is a plus; At least 5 years of work experience in web development; Good communication and interpersonal skills; Ability to work well both independently and as the team member of a large workforce; Ability to regularly ensure high work productivity; Ability to contribute to a simulating work environment and to maintain professional ethics.",Web Developer,Software Developer,PHP Developer
Bachelor's or Master's degree; At least 3 years of experience in testing; Understanding of Quality Assurance process; Strong interpersonal skills including effective writing and verbal communication skills; Experience in designing and maintaining test cases according to test plans and other specs; Ability to collaborate with the development teams to define test cases; Certain degree of creativity and self-motivation; Experience with different automated test tools; Ability to plan and execute automation testing; Ability to work independently and under pressure; Basic knowledge of programming is a plus.,QA Engineer,Software Developer,Project Manager
Higher education; Strong communication skills; Ability to work under pressure; Strong time management skills; Flexibility to manage multiple tasks within deadlines; Fluent knowledge of Armenian and Russian languages; Knowledge of English language is a plus;  Common software skills (MS Office and Internet).,Administrative Assistant,Sales Manager,Office Manager
"Excellent interpersonal and communication skills; Good organizational skills and diligent attention to details associated with documenting activities to maintain accurate and complete project records; Experience in working with international donors, working knowledge of logistics and transportation systems; Written and spoken proficiency in Armenian, English, and Russian; Computer literacy, including knowledge of and experience with word processors (MS Word), spreadsheets (Excel), databases (MS Access), and electronic mail; Knowledge of and ability to work with a variety of governmental and non-governmental organizations; Mobility and desire to travel extensively; Willingness to work long or unusual hours/week-ends unexpectedly in order to receive and distribute humanitarian supplies and to meet goals and objectives; Willingness and ability to work in a smoke-free environment.",Project Manager,Administrative Assistant,Accountant
"At least 5 years of work experience as a Software Developer; Excellent knowledge in Java and OOP; Excellent knowledge in Web development; Web Frameworks: Struts, JSP/Servlet, Java Server Faces; Persistence Layer: OJB, IBATIS and Hibernate; Integration Technologies: Spring Framework; Databases: Base knowledge with MySQL and Oracle databases; Excellent knowledge in SQL language (writing queries, creating databases, dumping, importing without a graphical user interface); Database Modeling skills; Good knowledge in (X)HTML, CSS, JavaScript and XML; Optional technologies: Velocity, Jasper Reports and Facelets; Build Environment: Ant, Maven and Eclipse; Servers: Tomcat, Apache2 Webserver; OS: Linux Ubuntu; High skills with Linux Operating System: system administration, writing Shell scripts, etc.; Ability to work on project with a development team; Ability to lead a small development team would be a plus; Problem solving skills; Good communication skills; Good English language skills.",Java Developer,Software Developer,Web Developer
Higher education; Knowledge of Russian and Armenian languages; Work experience is not obligatory; Pre-selling and marketing skills are preferable.,Sales Manager,Marketing Specialist,Medical Representative
"University degree; At least 3 years of work experience as an Accountant in a medium or large enterprise; Excellent knowledge of tax laws and labor legislation of RA; Prior experience in production and construction industry companies; Analytical, communication and organizational skills; Knowledge of 1C and Armenian Software programs; Good knowledge of English or German languages; Ability to work under pressure.",Accountant,Chief Accountant,Lawyer
